Block size, Scaling factor bitwidth, Quantisation bitwidth, Mean EVM, Compression rate
320,8,8,509.382134,1.993769
320,9,8,509.382134,1.992993
320,9,9,113.955207,1.772240
320,10,8,509.382134,1.992218
320,10,9,113.955207,1.771626
320,10,10,28.351313,1.595016
320,11,8,509.382134,1.991443
320,11,9,113.955207,1.771013
320,11,10,28.351313,1.594519
320,11,11,7.071775,1.450014
320,12,8,509.382134,1.990669
320,12,9,113.955207,1.770401
320,12,10,28.351313,1.594022
320,12,11,7.071775,1.449604
320,12,12,1.767081,1.329180
320,13,8,509.382134,1.989895
320,13,9,113.955207,1.769789
320,13,10,28.351313,1.593526
320,13,11,7.071775,1.449193
320,13,12,1.767081,1.328835
320,13,13,0.442685,1.226935
320,14,8,509.382134,1.989122
320,14,9,113.955207,1.769178
320,14,10,28.351313,1.593030
320,14,11,7.071775,1.448783
320,14,12,1.767081,1.328490
320,14,13,0.442685,1.226641
320,14,14,0.110588,1.139297
320,15,8,509.382134,1.988350
320,15,9,113.955207,1.768566
320,15,10,28.351313,1.592535
320,15,11,7.071775,1.448373
320,15,12,1.767081,1.328145
320,15,13,0.442685,1.226347
320,15,14,0.110588,1.139043
320,15,15,0.027653,1.063344
320,16,8,509.382134,1.987578
320,16,9,113.955207,1.767956
320,16,10,28.351313,1.592040
320,16,11,7.071775,1.447964
320,16,12,1.767081,1.327801
320,16,13,0.442685,1.226054
320,16,14,0.110588,1.138790
320,16,15,0.027653,1.063123
320,16,16,0.006916,0.996885
384,8,8,515.601618,1.994805
384,9,8,515.601618,1.994158
384,9,9,115.275762,1.773160
384,10,8,515.601618,1.993511
384,10,9,115.275762,1.772649
384,10,10,28.672119,1.595844
384,11,8,515.601618,1.992864
384,11,9,115.275762,1.772137
384,11,10,28.672119,1.595430
384,11,11,7.152897,1.450767
384,12,8,515.601618,1.992218
384,12,9,115.275762,1.771626
384,12,10,28.672119,1.595016
384,12,11,7.152897,1.450425
384,12,12,1.787164,1.329870
384,13,8,515.601618,1.991572
384,13,9,115.275762,1.771116
384,13,10,28.672119,1.594602
384,13,11,7.152897,1.450083
384,13,12,1.787164,1.329582
384,13,13,0.447209,1.227572
384,14,8,515.601618,1.990927
384,14,9,115.275762,1.770605
384,14,10,28.672119,1.594188
384,14,11,7.152897,1.449740
384,14,12,1.787164,1.329295
384,14,13,0.447209,1.227327
384,14,14,0.111821,1.139889
384,15,8,515.601618,1.990282
384,15,9,115.275762,1.770095
384,15,10,28.672119,1.593774
384,15,11,7.152897,1.449398
384,15,12,1.787164,1.329007
384,15,13,0.447209,1.227082
384,15,14,0.111821,1.139677
384,15,15,0.027958,1.063896
384,16,8,515.601618,1.989637
384,16,9,115.275762,1.769585
384,16,10,28.672119,1.593361
384,16,11,7.152897,1.449057
384,16,12,1.787164,1.328720
384,16,13,0.447209,1.226837
384,16,14,0.111821,1.139466
384,16,15,0.027958,1.063712
384,16,16,0.006994,0.997403
400,8,8,517.412940,1.995012
400,9,8,517.412940,1.994391
400,9,9,115.647909,1.773344
400,10,8,517.412940,1.993769
400,10,9,115.647909,1.772853
400,10,10,28.745101,1.596010
400,11,8,517.412940,1.993149
400,11,9,115.647909,1.772362
400,11,10,28.745101,1.595612
400,11,11,7.171697,1.450918
400,12,8,517.412940,1.992528
400,12,9,115.647909,1.771872
400,12,10,28.745101,1.595214
400,12,11,7.171697,1.450589
400,12,12,1.792283,1.330008
400,13,8,517.412940,1.991908
400,13,9,115.647909,1.771381
400,13,10,28.745101,1.594817
400,13,11,7.171697,1.450261
400,13,12,1.792283,1.329732
400,13,13,0.448572,1.227700
400,14,8,517.412940,1.991288
400,14,9,115.647909,1.770891
400,14,10,28.745101,1.594420
400,14,11,7.171697,1.449932
400,14,12,1.792283,1.329456
400,14,13,0.448572,1.227465
400,14,14,0.112165,1.140007
400,15,8,517.412940,1.990669
400,15,9,115.647909,1.770401
400,15,10,28.745101,1.594022
400,15,11,7.171697,1.449604
400,15,12,1.792283,1.329180
400,15,13,0.448572,1.227229
400,15,14,0.112165,1.139804
400,15,15,0.028053,1.064007
400,16,8,517.412940,1.990050
400,16,9,115.647909,1.769912
400,16,10,28.745101,1.593625
400,16,11,7.171697,1.449275
400,16,12,1.792283,1.328904
400,16,13,0.448572,1.226994
400,16,14,0.112165,1.139601
400,16,15,0.028053,1.063830
400,16,16,0.007016,0.997506
480,8,8,523.290934,1.995842
480,9,8,523.290934,1.995323
480,9,9,116.897141,1.774082
480,10,8,523.290934,1.994805
480,10,9,116.897141,1.773672
480,10,10,29.044777,1.596674
480,11,8,523.290934,1.994287
480,11,9,116.897141,1.773263
480,11,10,29.044777,1.596342
480,11,11,7.248981,1.451521
480,12,8,523.290934,1.993769
480,12,9,116.897141,1.772853
480,12,10,29.044777,1.596010
480,12,11,7.248981,1.451247
480,12,12,1.811343,1.330561
480,13,8,523.290934,1.993252
480,13,9,116.897141,1.772444
480,13,10,29.044777,1.595678
480,13,11,7.248981,1.450973
480,13,12,1.811343,1.330331
480,13,13,0.453498,1.228210
480,14,8,523.290934,1.992735
480,14,9,116.897141,1.772035
480,14,10,29.044777,1.595347
480,14,11,7.248981,1.450699
480,14,12,1.811343,1.330100
480,14,13,0.453498,1.228014
480,14,14,0.113377,1.140481
480,15,8,523.290934,1.992218
480,15,9,116.897141,1.771626
480,15,10,29.044777,1.595016
480,15,11,7.248981,1.450425
480,15,12,1.811343,1.329870
480,15,13,0.453498,1.227818
480,15,14,0.113377,1.140312
480,15,15,0.028341,1.064449
480,16,8,523.290934,1.991701
480,16,9,116.897141,1.771218
480,16,10,29.044777,1.594684
480,16,11,7.248981,1.450151
480,16,12,1.811343,1.329640
480,16,13,0.453498,1.227621
480,16,14,0.113377,1.140143
480,16,15,0.028341,1.064302
480,16,16,0.007091,0.997921
512,8,8,526.672247,1.996101
512,9,8,526.672247,1.995615
512,9,9,117.641263,1.774312
512,10,8,526.672247,1.995129
512,10,9,117.641263,1.773928
512,10,10,29.238704,1.596881
512,11,8,526.672247,1.994643
512,11,9,117.641263,1.773544
512,11,10,29.238704,1.596570
512,11,11,7.294067,1.451710
512,12,8,526.672247,1.994158
512,12,9,117.641263,1.773160
512,12,10,29.238704,1.596259
512,12,11,7.294067,1.451453
512,12,12,1.822757,1.330734
512,13,8,526.672247,1.993672
512,13,9,117.641263,1.772776
512,13,10,29.238704,1.595948
512,13,11,7.294067,1.451196
512,13,12,1.822757,1.330518
512,13,13,0.456209,1.228370
512,14,8,526.672247,1.993187
512,14,9,117.641263,1.772393
512,14,10,29.238704,1.595637
512,14,11,7.294067,1.450939
512,14,12,1.822757,1.330302
512,14,13,0.456209,1.228186
512,14,14,0.114033,1.140629
512,15,8,526.672247,1.992703
512,15,9,117.641263,1.772010
512,15,10,29.238704,1.595326
512,15,11,7.294067,1.450682
512,15,12,1.822757,1.330086
512,15,13,0.456209,1.228002
512,15,14,0.114033,1.140471
512,15,15,0.028519,1.064587
512,16,8,526.672247,1.992218
512,16,9,117.641263,1.771626
512,16,10,29.238704,1.595016
512,16,11,7.294067,1.450425
512,16,12,1.822757,1.329870
512,16,13,0.456209,1.227818
512,16,14,0.114033,1.140312
512,16,15,0.028519,1.064449
512,16,16,0.007132,0.998051
600,8,8,534.095466,1.996672
600,9,8,534.095466,1.996257
600,9,9,119.185091,1.774820
600,10,8,534.095466,1.995842
600,10,9,119.185091,1.774492
600,10,10,29.612304,1.597338
600,11,8,534.095466,1.995427
