Block size, Scaling factor bitwidth, Quantisation bitwidth, Mean EVM, Compression rate,CR/EVM
640,12,11,"7,443271","1,45207","0,1950849297"
600,11,11,"7,386973","1,452125","0,1965791671"
768,14,11,"7,590105","1,452139","0,1913200147"
800,14,11,"7,638175","1,452235","0,190128532"
640,11,11,"7,443271","1,452276","0,1951126057"
768,13,11,"7,590105","1,452311","0,1913426758"
960,16,11,"7,740114","1,452345","0,1876387092"
800,13,11,"7,638175","1,4524","0,190150134"
1024,16,11,"7,84478","1,452482","0,1851526748"
960,15,11,"7,740114","1,452482","0,1876564092"
768,12,11,"7,590105","1,452482","0,1913652051"
800,12,11,"7,638175","1,452565","0,190171736"
1024,15,11,"7,84478","1,452611","0,1851691188"
960,14,11,"7,740114","1,45262","0,1876742384"
768,11,11,"7,590105","1,452654","0,1913878662"
800,11,11,"7,638175","1,45273","0,1901933381"
1024,14,11,"7,84478","1,45274","0,1851855629"
960,13,11,"7,740114","1,452757","0,1876919384"
1024,13,11,"7,84478","1,452869","0,1852020069"
960,12,11,"7,740114","1,452894","0,1877096384"
1024,12,11,"7,84478","1,452998","0,185218451"
960,11,11,"7,740114","1,453032","0,1877274676"
1024,11,11,"7,84478","1,453126","0,1852347676"
